難易度,曲名,理論値,全国TOP,133436さんのスコア,全国平均,BPI
sl0,黄昏のメロディア [ANOTHER7],2672,2638,0,2370.2,不明
sl0,Aurora [ANOTHER7],3500,3483,0,3064.33,不明
sl0,Krave [Another],3784,3769,0,3223.26,不明
sl0,XVOTO,3058,3002,0,2647.4,不明
sl0,Out Low,3752,3732,0,3242.7,不明
sl0,RAVE YOUR ROCK,3500,3470,0,3147.62,不明
sl0,Happy Blazing Summer!!!,2806,2779,0,2438.93,不明
sl0,LOE4 Another,2778,2761,0,2422.7,不明
sl0,TURNDOWN [PIETHER],2780,2750,0,2399.27,不明
sl0,Dear Glint,3078,3057,0,2692.97,不明
sl0,マツユキソウ [Another],2778,2762,0,2426.99,不明
sl0,Brand-New Sky [ANOTHER],2536,2522,0,2205.86,不明
sl0,Say A Vengeance -Hope-,2800,2761,0,2464.97,不明
sl0,lightsphere -ほしをみるひと-,3200,3200,0,2866.21,不明
sl0,自強號 -到衛星-,3224,3209,0,2799.82,不明
sl0,plentifulness [SP ANOTHER],3262,3244,0,2811.45,不明
sl0,Disco Balls -Twilight-,2390,2380,0,2093.61,不明
sl0,MEJIRUSHI,2612,2601,0,2288.51,不明
sl0,Life is PIANO [Another],3130,3102,0,2572.25,不明
sl0,START-RESTART [ANOTHER],3188,3178,0,2853.08,不明
sl0,ハロウィン・ナイト [another],3640,3625,0,3156.17,不明
sl0,rainbow,2698,2688,0,2301.58,不明
sl0,アトロポスと最果の探求者,3096,3079,0,2602.83,不明
sl0,GOODWORLD [A],3186,3157,0,2589.86,不明
