難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl0,黄昏のメロディア [ANOTHER7],2672,2638,0,2370.2,不明
sl0,Aurora [ANOTHER7],3500,3483,0,3064.33,不明
sl0,Krave [Another],3784,3769,0,3223.26,不明
sl0,XVOTO,3058,3002,0,2647.4,不明
sl0,Out Low,3752,3732,0,3242.7,不明
sl0,RAVE YOUR ROCK,3500,3470,0,3147.62,不明
sl0,Happy Blazing Summer!!!,2806,2779,0,2438.93,不明
sl0,LOE4 Another,2778,2761,0,2422.7,不明
sl0,TURNDOWN [PIETHER],2780,2750,0,2399.27,不明
sl0,Dear Glint,3078,3057,0,2692.97,不明
sl0,マツユキソウ [Another],2778,2762,0,2426.99,不明
sl0,Brand-New Sky [ANOTHER],2536,2522,0,2205.86,不明
sl0,Say A Vengeance -Hope-,2800,2761,0,2464.97,不明
sl0,lightsphere -ほしをみるひと-,3200,3200,0,2866.21,不明
sl0,自強號 -到衛星-,3224,3209,3143,2799.82,34.87
sl0,plentifulness [SP ANOTHER],3262,3244,0,2811.45,不明
sl0,Disco Balls -Twilight-,2390,2380,0,2093.61,不明
sl0,MEJIRUSHI,2612,2601,0,2288.51,不明
sl0,Life is PIANO [Another],3130,3102,0,2572.25,不明
sl0,START-RESTART [ANOTHER],3188,3178,3105,2853.08,25.04
sl0,ハロウィン・ナイト [another],3640,3625,0,3156.17,不明
sl0,rainbow,2698,2688,0,2301.58,不明
sl0,アトロポスと最果の探求者,3096,3079,2839,2602.83,8.51
sl0,GOODWORLD [A],3186,3157,3061,2589.86,37.14
sl0,Allie Stars [Insane],2990,2968,0,2603.22,不明
sl0,z/e,2618,2612,0,2290.02,不明
sl0,-終天- [BLACK ANOTHER],3200,3195,0,2798.61,不明
sl0,Deepsea Moonlight,3122,3104,0,2714.57,不明
sl0,Memory of Rootage [ANOTHER],3060,3039,0,2718.75,不明
sl0,翼の折れた天使たちのレクイエム [Another],3082,3068,0,2606.51,不明
sl0,GAMEBOY [ANOTHER other],2694,2681,2573,2379.54,16.41
sl0,Blood Castle -Bloody-,2512,2505,0,2198.36,不明
sl0,the Only one Reverberation feat.波音リツ,4000,3991,0,3533.9,不明
sl0,Pompadour,2304,2298,2212,2060.21,13.49
sl0,jellyfish memories [7KEYS ANOTHER],3026,2996,0,2583.26,不明
sl0,ひらりゆらり水鏡 -another-,3550,3531,0,2839.67,不明
sl0,intersection？！,2854,2838,0,2395.42,不明
sl0,Kurofune [SP another],2372,2346,0,1992.5,不明
sl0,Fortress [ANOTHER],3236,3221,0,2732.1,不明
sl0,Bioinformatics,2776,2751,0,2286.72,不明
sl0,TwoPhace [SP Another],2674,2673,0,2363.6,不明
sl0,Re:Sound Sing Step -Another-,3380,3365,0,3002.82,不明
sl0,じゃぱりぱー,2468,2463,2456,2280.78,66.04
sl0,ice valley "beyond the searoad" [EXTRA],3020,3014,0,2761.73,不明
sl0,Juliet [oath],3084,3071,0,2727.34,不明
sl0,Hyper Fiber World Spectrum [ANOTHER],3538,3519,0,2893.77,不明
sl0,Precious!!! [7key,Another],3176,3154,0,2539.01,不明
sl0,Chit-Chat [7Key Another],2938,2935,0,2582.84,不明
sl0,Sunny [Charmante],7920,4298,0,2373.83,不明
sl0,Garefowl [Another],2600,2597,0,2307.28,不明
sl0,EUROBEATアイドル橘花音のテーマ,3144,3134,0,2488.84,不明
sl0,Babel [ANOTHER],2618,2611,2485,2223.52,14.0
sl0,Journey into the Unicorn Forest [ANOTHER],3490,3430,0,2947.71,不明
sl0,Once in my life [LovePlus+],2434,2431,0,2133.05,不明
sl0,Airetsiw [BlackAnother],2832,2825,0,2434.25,不明
sl0,カウガールとおもちゃの拳銃 [Another],1620,1618,1556,1439.98,11.02
sl0,Sogaikan Utopia [ANOTHER],3092,3077,0,2672.32,不明
sl0,アリスの空虚で愉快な人形劇,3880,3877,0,3124.21,不明
sl0,君の色に染まる [幸せの約束],2664,2631,0,2298.21,不明
sl0,stairway to the universe [A],2666,2664,0,2392.94,不明
sl0,Crystalline White [SP INSANE],2844,2830,0,2323.98,不明
sl0,Thermal Expansion [Another],3032,3025,0,2545.94,不明
sl0,Highlander [NORETHER],2972,2959,0,2590.98,不明
sl0,サクライロフワリ (INUther),3066,3063,3018,2618.41,29.79
sl0,BLAZE YOUR SOUL [SP ANOTHER],2702,2686,0,2083.14,不明
sl0,NEW ANACHRONISM -もう、主人公になれない- (dream side),2624,2610,0,2310.5,不明
sl0,Right Back,2302,2287,0,2031.18,不明
sl0,colorbar [Hi],1934,1932,1870,1711.61,13.59
sl0,Oriens,2544,2531,2489,2094.77,45.65
sl0,Aeventyr [ANOTHER],2936,2909,0,2304.16,不明
sl0,雪花,2724,2711,0,2181.55,不明
sl0,Beatrice [ANOTHER],2770,2732,0,2108.77,不明
sl0,the lost dedicated (another),2758,2758,2723,2299.51,23.16
sl0,sincere smile,2998,2978,0,2494.25,不明
sl1,プナイプナイげんそう [プナイプナイの右往左往ファンタジア],3600,3453,0,2931.43,不明
sl1,Second Synthesis [7key Extra],3480,3450,0,3096.04,不明
sl1,Repeat⇔Again [SP DEFEATED],3128,3080,0,2684.28,不明
sl1,Requiemotion [INSANE],4098,4046,0,3687.43,不明
sl1,Forbidden Area [SP ANOTHER+],3082,3043,0,2656.52,不明
sl1,Nowhere [if],3268,3263,0,2752.4,不明
sl1,John and Robert again lied [Loft],1900,1840,0,1498.16,不明
sl1,Colorful Days♪ [Colour My Sky],2426,2409,0,2118.79,不明
sl1,April's Fantasy -Spring Bloom-,3320,3311,0,2824.68,不明
sl1,ZABANIYA [SP AZOTHER],3636,3607,0,3092.83,不明
sl1,Reimei [Futabather],3532,3507,0,3040.74,不明
sl1,JOKER GAME [ANOTHER+],3798,3776,3721,3289.42,46.6
sl1,holy night celebration [White Christmas],3200,3189,0,2747.84,不明
sl1,七つの鍵盤のためのソナタ -Last Song-,2222,2156,0,1904.35,不明
sl1,Selenotaxis [nostalgia],2866,2855,0,2477.7,不明
sl1,アイム・マイヒーロー [覚醒],3434,3425,0,3002.97,不明
sl1,twinkle white* [snow memory],2876,2867,0,2454.45,不明
sl1,Dirge in Magenta [SP ANOTHER],3258,3240,0,2836.72,不明
sl1,サカサマの空に在ったのは [SP INSANE],3756,3700,0,3148.56,不明
sl1,架空ユリカゴ [in esse],2828,2828,2758,2576.85,9.31
sl1,Selenotaxis [Full Moon],2712,2688,0,2251.22,不明
sl1,SYNTHETICS,2944,2858,0,2418.94,不明
sl1,夢の地図と僕らの旅 [departure],2812,2801,0,2439.81,不明
sl1,deg w∧v chu doc [ANOTHER],3560,3517,0,2809.78,不明
sl1,豪華絢爛少女 [SP Another],3170,3137,0,2607.68,不明
sl1,Play Me Your Love Song [7KEYS ANOTHER],2956,2933,0,2445.03,不明
sl1,永劫綺譚の純潔葬花 -White Lily-,3600,3572,3453,3069.07,28.83
sl1,Brave My Soul -Flareness Heart-,4000,3993,3567,3363.09,2.5
sl1,Alitatrieb [Madness],4222,4179,0,3538.91,不明
sl1,ブラーブルー [蒼ひ空],3322,3293,3061,2862.78,9.25
sl1,overtrue,2500,2471,2330,2108.41,18.15
sl1,マージナル＊フロンティア [魔法世界へようこそ],3000,2944,0,2380.31,不明
sl1,PANIC RACE!,3384,3331,0,2805.05,不明
sl1,スピカ [moon_child],2780,2780,2690,2466.03,8.54
sl1,My Typical [ANOTHER],3552,3528,0,3040.35,不明
sl1,あのね、涙は。 [月と星],2600,2593,2574,2316.89,51.84
sl1,far in the blue sky... [rather],4624,4616,4268,4003.93,4.56
sl1,東風谷早苗が悲しい顔をする理由。,4216,4134,0,3508.32,不明
sl1,Innocent Blossom [SP ANOTHER],3760,3747,0,3169.36,不明
sl1,Dog Ear [ZOI],2694,2679,2508,2368.51,7.75
sl1,Smiling,3290,3263,3102,2778.56,19.85
sl1,JUDGEMENT ARROWS -Luna-,2558,2549,0,2154.48,不明
sl1,Linkager [EX],3292,3287,0,2958.57,不明
sl1,Coastline Fantasy [SP Another],3260,3223,0,2781.95,不明
sl1,Crazy Sweetie Glitter Candy Color [ZOI],4124,4103,3943,3642.89,17.44
sl1,浮世絵横丁,3302,3272,0,2642.18,不明
sl1,プナイプナイたいそう [SP ANOTHER],2478,2470,2400,2082.64,26.84
sl1,last:wish (Another),3042,3015,0,2550.61,不明
sl1,OneviA -ANOTHER-,3308,3259,0,2637.07,不明
sl1,Berry Go!! [Esteem and Love],3554,3502,3439,2919.72,56.41
sl1,Trancing 'Tempo'rary [ANOTHER],3200,3157,0,2637.96,不明
sl1,Out of Sense [Another],3484,3479,0,3039.9,不明
sl1,Asgard [ZOI],3400,3389,0,2844.34,不明
sl1,Jack o' Lantern [sagANOTHER],3156,3107,0,2682.04,不明
sl1,Life Style [INSANE],3234,3126,0,2596.92,不明
sl1,Strawberry Mint Chocolate [ice cream],3346,3308,0,2819.32,不明
sl1,Midnight o'clock -DREAMING-,3240,3204,0,2615.15,不明
sl1,オリヴィアの幻術 [Close-up],4000,3937,0,3366.34,不明
sl1,IKAROS [HARD],3284,3269,3197,2872.59,32.14
sl1,JUGGLE -SPINNER-,3244,3198,0,2633.53,不明
sl1,Elnath [Memory],3554,3504,0,2990.42,不明
sl1,Schwerkraft [Planet],2938,2887,2700,2334.32,23.12
sl1,Little Guardian [ANOTHER],3170,3152,0,2681.52,不明
sl1,The NightScape [Insane],3000,2971,0,2572.13,不明
sl1,MANHATTAN [sweet Vermut],3784,3748,0,3186.73,不明
sl1,Signal Stars [Radiance Ark],3600,3569,0,3104.18,不明
sl1,Afterwhile [Twilight],2922,2904,0,2537.78,不明
sl1,ドキドキ☆ココロ☆フレーバー (Lemon beads Hands-Up bootleg) [Le Jardin Ensoleile],3342,3337,3267,2957.41,23.09
sl1,Shooting Silver Bullet [ANOTHER],3454,3438,0,2813.31,不明
sl1,Chatblanc [clonter],2000,1986,0,1708.81,不明
sl1,Sakura Fubuki [桜、夢。],2242,2231,2092,1899.79,11.75
sl1,CUTSIC,2948,2934,0,2547.2,不明
sl1,WAYLAID (Additional),2468,2432,0,1981.34,不明
sl1,Pain Continues [SP Cloudy],4030,4018,0,3383.59,不明
sl1,Ashen Land [SP ANOTHER],2748,2707,0,2299.51,不明
sl1,Starry Fate [EX],4420,4372,4218,3685.27,32.56
sl1,Road to Dwarf -Little Princess Medley- -EXTRA-,5080,5053,0,4028.39,不明
